TIME,X2,Y2,Z2
"('2022-03-28 14:28:28',)","('55',)","('53',)","('-235',)"
"('2022-03-28 14:28:28',)","('56',)","('53',)","('-236',)"
"('2022-03-28 14:28:28',)","('55',)","('52',)","('-233',)"
"('2022-03-28 14:28:28',)","('61',)","('52',)","('-235',)"
"('2022-03-28 14:28:28',)","('54',)","('53',)","('-237',)"
"('2022-03-28 14:28:27',)","('55',)","('52',)","('-237',)"
"('2022-03-28 14:28:26',)","('55',)","('52',)","('-236',)"
"('2022-03-28 14:28:26',)","('55',)","('51',)","('-236',)"
"('2022-03-28 14:28:25',)","('58',)","('55',)","('-236',)"
"('2022-03-28 14:28:25',)","('54',)","('52',)","('-237',)"
"('2022-03-28 14:28:24',)","('54',)","('53',)","('-246',)"
"('2022-03-28 14:28:23',)","('61',)","('80',)","('-243',)"
"('2022-03-28 14:28:23',)","('62',)","('54',)","('-230',)"
"('2022-03-28 14:28:23',)","('60',)","('54',)","('-235',)"
"('2022-03-28 14:28:23',)","('60',)","('53',)","('-236',)"
"('2022-03-28 14:28:22',)","('55',)","('52',)","('-238',)"
"('2022-03-28 14:28:21',)","('61',)","('53',)","('-234',)"
"('2022-03-28 14:28:21',)","('61',)","('52',)","('-236',)"
"('2022-03-28 14:28:21',)","('60',)","('52',)","('-234',)"
"('2022-03-28 14:28:21',)","('60',)","('52',)","('-235',)"
"('2022-03-28 14:28:21',)","('58',)","('52',)","('-235',)"
"('2022-03-28 14:28:20',)","('58',)","('57',)","('-246',)"
"('2022-03-28 14:28:19',)","('52',)","('53',)","('-234',)"
"('2022-03-28 14:28:18',)","('40',)","('52',)","('-235',)"
"('2022-03-28 14:28:18',)","('37',)","('48',)","('-235',)"
"('2022-03-28 14:28:18',)","('53',)","('49',)","('-240',)"
"('2022-03-28 14:28:18',)","('53',)","('51',)","('-235',)"
"('2022-03-28 14:28:17',)","('56',)","('53',)","('-239',)"
"('2022-03-28 14:28:16',)","('57',)","('51',)","('-236',)"
"('2022-03-28 14:28:16',)","('56',)","('52',)","('-236',)"
"('2022-03-28 14:28:16',)","('41',)","('45',)","('-214',)"
"('2022-03-28 14:28:15',)","('57',)","('51',)","('-236',)"
"('2022-03-28 14:28:14',)","('57',)","('52',)","('-235',)"
"('2022-03-28 14:28:14',)","('57',)","('53',)","('-236',)"
"('2022-03-28 14:28:14',)","('57',)","('53',)","('-237',)"
"('2022-03-28 14:28:14',)","('56',)","('54',)","('-235',)"
"('2022-03-28 14:28:14',)","('56',)","('54',)","('-236',)"
"('2022-03-28 14:28:14',)","('57',)","('53',)","('-235',)"
"('2022-03-28 14:28:13',)","('58',)","('52',)","('-237',)"
"('2022-03-28 14:28:12',)","('57',)","('52',)","('-235',)"
"('2022-03-28 14:28:12',)","('55',)","('54',)","('-235',)"
"('2022-03-28 14:28:12',)","('57',)","('53',)","('-235',)"
"('2022-03-28 14:28:12',)","('57',)","('52',)","('-235',)"
"('2022-03-28 14:28:12',)","('57',)","('54',)","('-235',)"
"('2022-03-28 14:28:11',)","('57',)","('54',)","('-236',)"
"('2022-03-28 14:28:11',)","('59',)","('51',)","('-235',)"
"('2022-03-28 14:28:10',)","('57',)","('52',)","('-237',)"
"('2022-03-28 14:28:10',)","('56',)","('53',)","('-235',)"
"('2022-03-28 14:28:10',)","('57',)","('52',)","('-237',)"
"('2022-03-28 14:28:10',)","('58',)","('53',)","('-236',)"
"('2022-03-28 14:28:09',)","('59',)","('52',)","('-236',)"
"('2022-03-28 14:28:08',)","('56',)","('53',)","('-236',)"
"('2022-03-28 14:28:08',)","('56',)","('54',)","('-235',)"
