TIME,X,Y,Z
"('2022-03-28 14:27:49',)","(-50,)","(25,)","(-199,)"
"('2022-03-28 14:27:49',)","(-49,)","(26,)","(-201,)"
"('2022-03-28 14:27:48',)","(-50,)","(25,)","(-201,)"
"('2022-03-28 14:27:48',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:27:48',)","(-50,)","(26,)","(-200,)"
"('2022-03-28 14:27:48',)","(-50,)","(25,)","(-201,)"
"('2022-03-28 14:27:46',)","(-49,)","(25,)","(-202,)"
"('2022-03-28 14:27:46',)","(-49,)","(26,)","(-201,)"
"('2022-03-28 14:27:46',)","(-50,)","(26,)","(-200,)"
"('2022-03-28 14:27:44',)","(-51,)","(25,)","(-201,)"
"('2022-03-28 14:27:44',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:27:44',)","(-50,)","(26,)","(-202,)"
"('2022-03-28 14:27:44',)","(-49,)","(26,)","(-200,)"
"('2022-03-28 14:27:44',)","(-50,)","(26,)","(-203,)"
"('2022-03-28 14:27:44',)","(-50,)","(27,)","(-200,)"
"('2022-03-28 14:27:43',)","(-51,)","(25,)","(-200,)"
"('2022-03-28 14:27:41',)","(-49,)","(26,)","(-202,)"
"('2022-03-28 14:27:41',)","(-50,)","(25,)","(-202,)"
"('2022-03-28 14:27:40',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:13:31',)","(-51,)","(26,)","(-202,)"
"('2022-03-28 14:13:31',)","(-50,)","(25,)","(-200,)"
"('2022-03-28 14:13:30',)","(-49,)","(26,)","(-200,)"
"('2022-03-28 14:13:30',)","(-49,)","(26,)","(-201,)"
"('2022-03-28 14:13:30',)","(-50,)","(27,)","(-201,)"
"('2022-03-28 14:13:30',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:13:29',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:13:29',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:13:29',)","(-49,)","(27,)","(-201,)"
"('2022-03-28 14:13:29',)","(-49,)","(28,)","(-200,)"
"('2022-03-28 14:13:28',)","(-49,)","(26,)","(-198,)"
"('2022-03-28 14:13:28',)","(-49,)","(27,)","(-199,)"
"('2022-03-28 14:13:27',)","(-50,)","(27,)","(-201,)"
"('2022-03-28 14:13:27',)","(-49,)","(27,)","(-201,)"
"('2022-03-28 14:13:27',)","(-51,)","(30,)","(-201,)"
"('2022-03-28 14:13:27',)","(-50,)","(28,)","(-201,)"
"('2022-03-28 14:13:27',)","(-49,)","(26,)","(-201,)"
"('2022-03-28 14:13:27',)","(-49,)","(27,)","(-200,)"
"('2022-03-28 14:13:25',)","(-50,)","(28,)","(-200,)"
"('2022-03-28 14:13:25',)","(-50,)","(27,)","(-200,)"
"('2022-03-28 14:13:25',)","(-49,)","(26,)","(-200,)"
"('2022-03-28 14:13:25',)","(-50,)","(27,)","(-201,)"
"('2022-03-28 14:13:25',)","(-50,)","(28,)","(-199,)"
"('2022-03-28 14:13:25',)","(-50,)","(28,)","(-200,)"
"('2022-03-28 14:13:25',)","(-50,)","(28,)","(-200,)"
"('2022-03-28 14:13:25',)","(-50,)","(28,)","(-200,)"
"('2022-03-28 14:13:25',)","(-49,)","(27,)","(-199,)"
"('2022-03-28 14:13:25',)","(-50,)","(27,)","(-200,)"
"('2022-03-28 14:13:24',)","(-51,)","(28,)","(-201,)"
"('2022-03-28 14:13:24',)","(-50,)","(27,)","(-200,)"
"('2022-03-28 14:13:24',)","(-50,)","(27,)","(-200,)"
"('2022-03-28 14:13:24',)","(-49,)","(26,)","(-201,)"
"('2022-03-28 14:13:24',)","(-49,)","(27,)","(-201,)"
"('2022-03-28 14:13:24',)","(-50,)","(27,)","(-200,)"
"('2022-03-28 14:13:24',)","(-50,)","(28,)","(-200,)"
"('2022-03-28 14:13:24',)","(-51,)","(28,)","(-200,)"
"('2022-03-28 14:13:23',)","(-51,)","(28,)","(-200,)"
"('2022-03-28 14:13:23',)","(-51,)","(28,)","(-200,)"
"('2022-03-28 14:13:22',)","(-50,)","(27,)","(-201,)"
"('2022-03-28 14:13:22',)","(-50,)","(26,)","(-200,)"
"('2022-03-28 14:13:22',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:13:22',)","(-50,)","(27,)","(-200,)"
"('2022-03-28 14:13:22',)","(-50,)","(25,)","(-199,)"
"('2022-03-28 14:13:22',)","(-50,)","(27,)","(-200,)"
