TIME,X,Y,Z,X2,Y2,Z2
"('2022-03-27 15:28:40',)","(238,)","(88,)","(-87,)","('-309',)","('135',)","(-87,)"
"('2022-03-27 15:28:40',)","(237,)","(107,)","(-94,)","('-139',)","('18',)","(-94,)"
"('2022-03-27 15:28:40',)","(194,)","(50,)","(-79,)","('88',)","('-37',)","(-79,)"
"('2022-03-27 15:28:40',)","(214,)","(33,)","(-92,)","('108',)","('-148',)","(-92,)"
"('2022-03-27 15:28:40',)","(318,)","(-84,)","(-126,)","('287',)","('-512',)","(-126,)"
"('2022-03-27 15:28:40',)","(355,)","(-110,)","(-136,)","('284',)","('-365',)","(-136,)"
"('2022-03-27 15:28:39',)","(231,)","(-38,)","(-93,)","('151',)","('-81',)","(-93,)"
"('2022-03-27 15:28:39',)","(294,)","(28,)","(-77,)","('179',)","('417',)","(-77,)"
"('2022-03-27 15:28:39',)","(225,)","(-23,)","(-175,)","('333',)","('387',)","(-175,)"
"('2022-03-27 15:28:39',)","(181,)","(49,)","(-151,)","('444',)","('100',)","(-151,)"
"('2022-03-27 15:28:39',)","(288,)","(14,)","(-144,)","('200',)","('-101',)","(-144,)"
"('2022-03-27 15:28:39',)","(281,)","(-43,)","(-109,)","('65',)","('-299',)","(-109,)"
"('2022-03-27 15:28:39',)","(298,)","(-21,)","(-122,)","('62',)","('-450',)","(-122,)"
"('2022-03-27 15:28:39',)","(247,)","(-13,)","(-78,)","('-199',)","('-35',)","(-78,)"
"('2022-03-27 15:28:37',)","(223,)","(-31,)","(-91,)","('105',)","('511',)","(-91,)"
"('2022-03-27 15:28:37',)","(224,)","(-31,)","(-90,)","('93',)","('-182',)","(-90,)"
"('2022-03-27 15:28:37',)","(224,)","(-30,)","(-90,)","('214',)","('-305',)","(-90,)"
"('2022-03-27 15:28:37',)","(223,)","(-30,)","(-89,)","('213',)","('-17',)","(-89,)"
"('2022-03-27 15:28:37',)","(224,)","(-30,)","(-91,)","('162',)","('106',)","(-91,)"
"('2022-03-27 15:28:37',)","(224,)","(-30,)","(-91,)","('123',)","('2',)","(-91,)"
"('2022-03-27 15:28:37',)","(226,)","(-29,)","(-90,)","('200',)","('-228',)","(-90,)"
"('2022-03-27 15:28:37',)","(223,)","(-29,)","(-90,)","('83',)","('-102',)","(-90,)"
"('2022-03-27 15:28:37',)","(223,)","(-31,)","(-89,)","('11',)","('225',)","(-89,)"
"('2022-03-27 15:28:37',)","(224,)","(-30,)","(-90,)","('221',)","('436',)","(-90,)"
"('2022-03-27 15:28:37',)","(224,)","(-27,)","(-89,)","('184',)","('148',)","(-89,)"
"('2022-03-27 15:28:37',)","(223,)","(-27,)","(-89,)","('193',)","('-175',)","(-89,)"
"('2022-03-27 15:28:37',)","(224,)","(-31,)","(-90,)","('-100',)","('-494',)","(-90,)"
"('2022-03-27 15:28:36',)","(223,)","(-30,)","(-90,)","('260',)","('77',)","(-90,)"
"('2022-03-27 15:28:36',)","(224,)","(-30,)","(-90,)","('321',)","('63',)","(-90,)"
"('2022-03-27 15:28:36',)","(223,)","(-31,)","(-90,)","('253',)","('76',)","(-90,)"
"('2022-03-27 15:28:36',)","(222,)","(-30,)","(-91,)","('269',)","('67',)","(-91,)"
"('2022-03-27 15:28:36',)","(224,)","(-30,)","(-89,)","('281',)","('62',)","(-89,)"
"('2022-03-27 15:28:36',)","(223,)","(-29,)","(-88,)","('271',)","('66',)","(-88,)"
"('2022-03-27 15:28:36',)","(223,)","(-31,)","(-90,)","('269',)","('66',)","(-90,)"
"('2022-03-27 15:28:36',)","(224,)","(-32,)","(-91,)","('270',)","('65',)","(-91,)"
"('2022-03-27 15:28:36',)","(224,)","(-30,)","(-90,)","('271',)","('66',)","(-90,)"
"('2022-03-27 15:28:36',)","(223,)","(-29,)","(-90,)","('271',)","('66',)","(-90,)"
"('2022-03-27 15:28:35',)","(224,)","(-29,)","(-89,)","('270',)","('69',)","(-89,)"
"('2022-03-27 15:28:35',)","(225,)","(-28,)","(-89,)","('270',)","('70',)","(-89,)"
"('2022-03-27 15:28:35',)","(224,)","(-28,)","(-87,)","('270',)","('71',)","(-87,)"
"('2022-03-27 15:28:35',)","(222,)","(-29,)","(-89,)","('279',)","('70',)","(-89,)"
"('2022-03-27 15:28:34',)","(224,)","(-31,)","(-90,)","('270',)","('70',)","(-90,)"
"('2022-03-27 15:28:34',)","(224,)","(-30,)","(-89,)","('270',)","('70',)","(-89,)"
"('2022-03-27 15:28:34',)","(224,)","(-32,)","(-89,)","('270',)","('70',)","(-89,)"
"('2022-03-27 15:28:34',)","(223,)","(-30,)","(-91,)","('270',)","('70',)","(-91,)"
"('2022-03-27 15:28:34',)","(223,)","(-31,)","(-90,)","('270',)","('70',)","(-90,)"
"('2022-03-27 15:28:34',)","(224,)","(-30,)","(-88,)","('269',)","('71',)","(-88,)"
"('2022-03-27 15:28:33',)","(223,)","(-30,)","(-89,)","('270',)","('70',)","(-89,)"
"('2022-03-27 15:28:33',)","(224,)","(-31,)","(-90,)","('269',)","('70',)","(-90,)"
"('2022-03-27 15:28:33',)","(223,)","(-30,)","(-90,)","('269',)","('71',)","(-90,)"
"('2022-03-27 15:28:33',)","(225,)","(-30,)","(-90,)","('269',)","('71',)","(-90,)"
"('2022-03-27 15:28:33',)","(223,)","(-30,)","(-89,)","('271',)","('70',)","(-89,)"
"('2022-03-27 15:28:33',)","(224,)","(-31,)","(-89,)","('270',)","('69',)","(-89,)"
"('2022-03-27 15:28:33',)","(223,)","(-30,)","(-89,)","('270',)","('71',)","(-89,)"
"('2022-03-27 15:28:33',)","(225,)","(-32,)","(-89,)","('271',)","('69',)","(-89,)"
"('2022-03-27 15:28:33',)","(223,)","(-30,)","(-89,)","('271',)","('69',)","(-89,)"
"('2022-03-27 15:28:33',)","(225,)","(-30,)","(-90,)","('270',)","('71',)","(-90,)"
"('2022-03-27 15:28:33',)","(223,)","(-30,)","(-90,)","('271',)","('70',)","(-90,)"
"('2022-03-27 15:28:33',)","(222,)","(-30,)","(-90,)","('271',)","('70',)","(-90,)"
"('2022-03-27 15:28:33',)","(223,)","(-31,)","(-90,)","('270',)","('71',)","(-90,)"
"('2022-03-27 15:28:33',)","(224,)","(-30,)","(-91,)","('269',)","('70',)","(-91,)"
"('2022-03-27 15:28:33',)","(223,)","(-31,)","(-89,)","('270',)","('69',)","(-89,)"
"('2022-03-27 15:28:33',)","(223,)","(-30,)","(-90,)","('270',)","('71',)","(-90,)"
"('2022-03-27 15:28:33',)","(223,)","(-29,)","(-90,)","('270',)","('69',)","(-90,)"
"('2022-03-27 15:28:33',)","(224,)","(-31,)","(-90,)","('271',)","('71',)","(-90,)"
"('2022-03-27 15:28:33',)","(224,)","(-30,)","(-90,)","('269',)","('71',)","(-90,)"
"('2022-03-27 15:28:32',)","(225,)","(-30,)","(-90,)","('270',)","('71',)","(-90,)"
"('2022-03-27 15:28:32',)","(224,)","(-30,)","(-89,)","('271',)","('69',)","(-89,)"
"('2022-03-27 15:28:32',)","(223,)","(-29,)","(-90,)","('270',)","('70',)","(-90,)"
"('2022-03-27 15:28:32',)","(225,)","(-32,)","(-90,)","('271',)","('71',)","(-90,)"
"('2022-03-27 15:28:32',)","(225,)","(-30,)","(-90,)","('270',)","('69',)","(-90,)"
"('2022-03-27 15:28:32',)","(223,)","(-31,)","(-90,)","('271',)","('70',)","(-90,)"
"('2022-03-27 15:28:32',)","(224,)","(-31,)","(-91,)","('270',)","('70',)","(-91,)"
"('2022-03-27 15:28:32',)","(223,)","(-30,)","(-90,)","('270',)","('69',)","(-90,)"
"('2022-03-27 15:28:32',)","(223,)","(-30,)","(-89,)","('269',)","('70',)","(-89,)"
"('2022-03-27 15:28:32',)","(225,)","(-31,)","(-89,)","('270',)","('70',)","(-89,)"
"('2022-03-27 15:28:32',)","(223,)","(-31,)","(-90,)","('271',)","('69',)","(-90,)"
"('2022-03-27 15:28:30',)","(223,)","(-30,)","(-90,)","('270',)","('71',)","(-90,)"
"('2022-03-22 12:10:16',)","(-30,)","(112,)","(227,)","('-98',)","('-32',)","(227,)"
"('2022-03-22 12:10:16',)","(-32,)","(112,)","(226,)","('-97',)","('-32',)","(226,)"
"('2022-03-22 12:10:15',)","(-33,)","(111,)","(230,)","('-98',)","('-30',)","(230,)"
"('2022-03-22 12:10:15',)","(-30,)","(109,)","(228,)","('-98',)","('-31',)","(228,)"
"('2022-03-22 12:10:15',)","(-32,)","(111,)","(225,)","('-98',)","('-32',)","(225,)"
"('2022-03-22 12:10:15',)","(-31,)","(110,)","(228,)","('-98',)","('-32',)","(228,)"
"('2022-03-22 12:10:14',)","(-34,)","(114,)","(226,)","('-97',)","('-31',)","(226,)"
"('2022-03-22 12:10:14',)","(-33,)","(113,)","(226,)","('-97',)","('-31',)","(226,)"
"('2022-03-22 12:10:14',)","(-33,)","(112,)","(226,)","('-97',)","('-30',)","(226,)"
"('2022-03-22 12:10:14',)","(-32,)","(112,)","(228,)","('-96',)","('-31',)","(228,)"
"('2022-03-22 12:10:13',)","(-35,)","(108,)","(229,)","('-97',)","('-32',)","(229,)"
"('2022-03-22 12:10:13',)","(-35,)","(108,)","(228,)","('-97',)","('-32',)","(228,)"
"('2022-03-22 12:10:13',)","(-34,)","(112,)","(227,)","('-97',)","('-32',)","(227,)"
"('2022-03-22 12:10:13',)","(-33,)","(112,)","(227,)","('-98',)","('-32',)","(227,)"
"('2022-03-22 12:10:12',)","(-32,)","(114,)","(227,)","('-98',)","('-31',)","(227,)"
"('2022-03-22 12:10:12',)","(-33,)","(114,)","(225,)","('-97',)","('-31',)","(225,)"
"('2022-03-22 12:10:12',)","(-32,)","(112,)","(227,)","('-96',)","('-33',)","(227,)"
"('2022-03-22 12:10:12',)","(-33,)","(114,)","(227,)","('-97',)","('-32',)","(227,)"
"('2022-03-22 12:10:11',)","(-32,)","(107,)","(228,)","('-96',)","('-33',)","(228,)"
"('2022-03-22 12:10:11',)","(-34,)","(107,)","(227,)","('-97',)","('-32',)","(227,)"
"('2022-03-22 12:10:11',)","(-34,)","(111,)","(228,)","('-97',)","('-32',)","(228,)"
"('2022-03-22 12:10:11',)","(-33,)","(111,)","(227,)","('-97',)","('-31',)","(227,)"
